cbsa,name,cong,adherents,pct_pop,rank_adherents,rank_pct
37540,"Paris, TN Micro Area",1,337,1.0466163545451723,779,405
43180,"Shelbyville, TN Micro Area",1,337,0.6708203117224356,780,690
16460,"Centralia, IL Micro Area",1,336,0.8905616369371041,781,507
20820,"Effingham, IL Micro Area",1,336,0.9691934925579786,782,442
23300,"Freeport, IL Micro Area",1,336,0.7528568227649564,783,633
23660,"Galesburg, IL Micro Area",1,336,0.6724438129165249,784,689
25300,"Hannibal, MO Micro Area",1,336,0.8641975308641975,785,532
27300,"Jacksonville, IL Micro Area",1,336,0.8873864356644834,786,511
30060,"Lebanon, MO Micro Area",1,336,0.9323233164072254,787,469
31380,"Macomb, IL Micro Area",1,336,1.2335707467508628,788,332
32180,"Marshall, MO Micro Area",1,336,1.4400205717224532,789,275
32340,"Maryville, MO Micro Area",1,336,1.5818464290758438,790,238
33020,"Mexico, MO Micro Area",1,336,1.346045989904655,791,302
33620,"Moberly, MO Micro Area",1,336,1.3594432756109402,792,298
34500,"Mount Vernon, IL Micro Area",1,336,0.9053431412173633,793,494
38700,"Pontiac, IL Micro Area",1,336,0.9381544045790869,794,463
42740,"Sedalia, MO Micro Area",1,336,0.7817589576547231,795,607
43460,"Sikeston, MO Micro Area",1,336,0.8828398013610448,796,515
11420,"Angola, IN Micro Area",1,335,0.9728473936401918,797,439
13260,"Bedford, IN Micro Area",1,335,0.7442625136077847,798,639
18220,"Connersville, IN Micro Area",1,335,1.4317463031028295,799,278
18820,"Crawfordsville, IN Micro Area",1,335,0.8830662167861661,800,514
19540,"Decatur, IN Micro Area",1,335,0.9355190036024462,801,466
28340,"Kendallville, IN Micro Area",1,335,0.7059021851360179,802,673
30900,"Logansport, IN Micro Area",1,335,0.8846052284129917,803,512
31500,"Madison, IN Micro Area",1,335,1.0106495308776058,804,419
35220,"New Castle, IN Micro Area",1,335,0.6848754957680827,805,682
35860,"North Vernon, IN Micro Area",1,335,1.2131966827219063,806,340
38500,"Plymouth, IN Micro Area",1,335,0.7267599522724808,807,653
42500,"Scottsburg, IN Micro Area",1,335,1.3738517060367454,808,295
47180,"Vincennes, IN Micro Area",1,335,0.9233228598202966,809,474
15460,"Burlington, IA-IL Micro Area",1,334,0.7373556747687484,810,647
16140,"Carroll, IA Micro Area",1,334,1.6088631984585742,811,231
21840,"Fairfield, IA Micro Area",1,334,2.1324139692268407,812,171
22700,"Fort Dodge, IA Micro Area",1,334,0.9027271007324523,813,495
32260,"Marshalltown, IA Micro Area",1,334,0.832813863608029,814,557
32380,"Mason City, IA Micro Area",1,334,0.6604706347636939,815,697
34700,"Muscatine, IA Micro Area",1,334,0.7725222620562044,816,618
